ID,POS,Name,TM,Age,NAT,B,T
36249,RP,Cam Hill,Cleveland,26,USA,Right,Right
23336,RP,Tim Hill,San Diego,31,USA,Right,Left
267,RP,Jonathan Holder,Chicago,27,USA,Right,Right
23650,RP,Derek Holland,Detroit,34,USA,Switch,Left
22807,RP,Greg Holland,Kansas City,35,USA,Right,Right
30287,RP,Clay Holmes,Pittsburgh,28,USA,Right,Right
27449,RP,Daniel Hudson,Washington,34,USA,Right,Right
20977,RP,Cole Irvin,Oakland,27,USA,Left,Left
29167,RP,Luke Jackson,Atlanta,29,USA,Right,Right
23348,RP,Kenley Jansen,Los Angeles,33,CUR,Switch,Right
30708,RP,Pierce Johnson,San Diego,29,USA,Right,Right
28980,RP,Tommy Kahnle,Los Angeles,31,USA,Right,Right
20515,RP,James Karinchak,Cleveland,25,USA,Right,Right
32786,RP,Anthony Kay,Toronto,26,USA,Left,Left
31544,RP,Keone Kela,San Diego,27,USA,Right,Right
28101,RP,Joe Kelly,Los Angeles,32,USA,Right,Right
18650,RP,Ian Kennedy,Texas,36,USA,Right,Right
25740,RP,Michael King,New York,25,USA,Right,Right
33140,RP,Tyler Kinley,Colorado,30,USA,Right,Right
28978,RP,Brandon Kintzler,Philadelphia,36,USA,Right,Right
30327,RP,Andrew Kittredge,Tampa Bay,31,USA,Right,Right
31985,RP,Corey Knebel,Los Angeles,29,USA,Right,Right
28762,RP,Adam Kolarek,Oakland,32,USA,Left,Left
1021,RP,Michael Kopech,Chicago,24,USA,Right,Right
33152,RP,Eric Lauer,Milwaukee,25,USA,Right,Left
18788,RP,Wade LeBlanc,Baltimore,36,USA,Left,Left
32619,RP,Jose Leclerc,Texas,27,DOM,Right,Right
33072,RP,Zack Littell,San Francisco,25,USA,Right,Right
35140,RP,Jonathan Loaisiga,New York,26,NCA,Right,Right
32606,RP,Reynaldo Lopez,Chicago,27,DOM,Right,Right
28051,RP,Aaron Loup,New York,33,USA,Left,Left
27632,RP,Lucas Luetge,New York,34,USA,Left,Left
29892,RP,Seth Lugo,New York,31,USA,Right,Right
22311,RP,Jordan Lyles,Texas,30,USA,Right,Right
30277,RP,Dillon Maples,Chicago,28,USA,Right,Right
29240,RP,Evan Marshall,Chicago,30,USA,Right,Right
35852,RP,Brett Martin,Texas,25,USA,Left,Left
30676,RP,Chris Martin,Atlanta,34,USA,Right,Right
19944,RP,Phil Maton,Cleveland,28,USA,Right,Right
28218,RP,Tyler Matzek,Atlanta,30,USA,Left,Left
20059,RP,Dustin May,Los Angeles,23,USA,Right,Right
27616,RP,Trevor May,New York,31,USA,Right,Right
31923,RP,Mike Mayers,Los Angeles,29,USA,Right,Right
33079,RP,Tim Mayza,Toronto,29,USA,Left,Left
27679,RP,Collin McHugh,Tampa Bay,33,USA,Right,Right
18304,RP,Andrew Miller,St. Louis,35,USA,Left,Left
27242,RP,Tommy Milone,Toronto,34,USA,Left,Left
20953,RP,A.J. Minter,Atlanta,27,USA,Left,Left
20892,RP,Anthony Misiewicz,Seattle,26,USA,Right,Left
29343,RP,Rafael Montero,Seattle,30,DOM,Right,Right
